lap,tyre_age,compound_encoded,track_temperature,laps_total,track,lap_time
1,6,1,35,66,Barcelona,108.152
2,6,2,31,66,Barcelona,155.79
3,1,1,44,66,Barcelona,132.826
4,7,1,39,66,Barcelona,128.778
5,11,1,30,66,Barcelona,130.44
6,13,1,34,66,Barcelona,133.88
7,11,2,39,66,Barcelona,82.99
8,14,1,37,66,Barcelona,81.631
9,2,1,34,66,Barcelona,81.386
10,14,2,43,66,Barcelona,81.79
11,15,1,30,66,Barcelona,81.808
12,12,1,32,66,Barcelona,81.81
13,12,2,37,66,Barcelona,81.936
14,4,1,35,66,Barcelona,81.574
15,6,1,36,66,Barcelona,81.778
16,10,0,32,66,Barcelona,81.562
17,1,2,40,66,Barcelona,81.509
18,9,0,31,66,Barcelona,81.328
19,18,1,32,66,Barcelona,81.393
20,13,2,39,66,Barcelona,81.334
21,9,0,39,66,Barcelona,81.157
22,1,1,42,66,Barcelona,80.849
23,14,0,40,66,Barcelona,81.045
24,9,2,44,66,Barcelona,81.662
25,18,1,35,66,Barcelona,84.565
26,17,1,37,66,Barcelona,100.689
27,19,0,44,66,Barcelona,80.131
28,2,2,30,66,Barcelona,80.711
29,5,0,41,66,Barcelona,80.713
30,17,2,38,66,Barcelona,81.074
31,9,2,30,66,Barcelona,80.948
32,17,0,31,66,Barcelona,81.6
33,11,2,37,66,Barcelona,81.228
34,6,2,44,66,Barcelona,81.854
35,1,1,30,66,Barcelona,80.542
36,9,1,36,66,Barcelona,80.359
37,19,1,40,66,Barcelona,81.296
38,10,2,39,66,Barcelona,80.363
39,1,0,30,66,Barcelona,80.81
40,17,1,37,66,Barcelona,80.507
41,18,1,44,66,Barcelona,108.59
42,13,2,43,66,Barcelona,122.018
43,18,1,39,66,Barcelona,84.158
44,3,2,37,66,Barcelona,80.625
45,14,1,34,66,Barcelona,80.425
46,12,1,40,66,Barcelona,80.621
47,19,1,33,66,Barcelona,79.766
48,11,0,37,66,Barcelona,80.2
49,15,0,32,66,Barcelona,79.983
50,6,1,30,66,Barcelona,79.902
51,7,1,35,66,Barcelona,79.634
52,16,1,31,66,Barcelona,79.984
53,11,1,43,66,Barcelona,79.831
54,11,1,40,66,Barcelona,80.007
55,17,1,40,66,Barcelona,79.86
56,10,1,41,66,Barcelona,79.811
57,11,1,40,66,Barcelona,79.443
58,6,0,34,66,Barcelona,79.488
59,8,0,39,66,Barcelona,79.614
60,7,0,39,66,Barcelona,81.819
61,5,1,30,66,Barcelona,80.47
62,16,1,44,66,Barcelona,79.152
63,12,0,42,66,Barcelona,79.822
64,11,1,30,66,Barcelona,79.133
65,11,0,42,66,Barcelona,79.425
66,14,2,34,66,Barcelona,80.393
1,11,1,38,66,Barcelona,109.029
